"idRecipe","nameRecipe","difficulte","prix","quantite","image"
"39","Tiramisu aux speculoos","facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20191128_103126_w150h150c1cx2583cy1740cxb5166cyb3480.webp', 'https:__assets.afcdn.com_recipe_20160616_27628_w150h150c1cx1500cy2248.webp', 'https:__assets.afcdn.com_recipe_20160616_23601_w150h150c1cx1500cy2248.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"40","Tarte thon, tomate et moutarde","très facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20180503_79010_w150h150c1cx1920cy2880.webp', 'https:__assets.afcdn.com_recipe_20180628_80053_w150h150c1cx1944cy2592cxb3888cyb5184.webp', 'https:__assets.afcdn.com_recipe_20221013_136157_w150h150c1cx1920cy1080cxb3840cyb2160.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"41","Couscous poulet et merguez facile","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20180621_79724_w150h150c1cx1944cy2592cxb3888cyb5184.webp', 'https:__assets.afcdn.com_recipe_20221013_136129_w150h150c1cx1792cy1006cxb3584cyb2012.webp', 'https:__assets.afcdn.com_recipe_20130131_25742_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"42","Cannelés (7ème rencontre Marmiton)","très facile","bon marché","16 cannelés","['https:__assets.afcdn.com_recipe_20220426_131518_w150h150c1cx2120cy1416cxb4240cyb2832.webp', 'https:__assets.afcdn.com_recipe_20160405_63560_w150h150c1cx1500cy1000.webp', 'https:__assets.afcdn.com_recipe_20100120_60485_w150h150c1cx192cy256.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"43","Velouté de champignons","très facile","bon marché","3 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"44","Original American Cookies de Mike","très facile","bon marché","15 Pièces","['https:__assets.afcdn.com_recipe_20200916_114198_w150h150c1cx1321cy1321cxb2642cyb2642.webp', 'https:__assets.afcdn.com_recipe_20160513_21947_w150h150c1cx1970cy4135cxb4000cyb5570.webp', 'https:__assets.afcdn.com_recipe_20160401_21945_w150h150c1cx2600cy1643.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"45","Paupiettes de veau","très facile","bon marché","2 personnes","['https:__assets.afcdn.com_recipe_20221007_135809_w150h150c1cx851cy1190cxb1686cyb1778.webp', 'https:__assets.afcdn.com_recipe_20131001_22169_w150h150c1cx222cy125.webp', 'https:__assets.afcdn.com_recipe_20180716_81382_w150h150c1cx1880cy2506cxb3760cyb5013.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"46","Tarte au citron meringuée","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20140121_63377_w150h150c1cx1100cy1412cxb2796cyb3567.webp', 'https:__assets.afcdn.com_recipe_20170213_63342_w150h150c1cx2000cy3000.webp', 'https:__assets.afcdn.com_recipe_20170213_63346_w150h150c1cx3000cy2000.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"47","Gâteau aux pommes facile","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20170529_37207_w150h150c1cx2000cy3000.webp', 'https:__assets.afcdn.com_recipe_20170529_37211_w150h150c1cx3000cy2000.webp', 'https:__assets.afcdn.com_recipe_20170529_37209_w150h150c1cx2000cy3000.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"48","Tarte frangipane aux poires et au chocolat","facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20171220_76170_w150h150c1cx2000cy3000cxb4000cyb6000.webp', 'https:__assets.afcdn.com_recipe_20171220_76169_w150h150c1cx3000cy2000cxb6000cyb4000.webp', 'https:__assets.afcdn.com_recipe_20141105_46014_w150h150c1cx1250cy1875.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
